"","word","secundaria","author","proportion"
"97","es algo platiado",0.00212314225053079,"primaria",NA
"98","escultura de plata",0.00212314225053079,"primaria",NA
"99","ese",NA,"primaria",0.00234192037470726
"100","esfeda",0.00212314225053079,"primaria",NA
"101","esfera",NA,"primaria",0.00234192037470726
"102","es muy fuerte",0.00212314225053079,"primaria",NA
"103","eso",0.00212314225053079,"primaria",0.00468384074941452
"104","esperanza",0.00212314225053079,"primaria",NA
"105","esta",0.00212314225053079,"primaria",0.00468384074941452
"106","es una",NA,"primaria",0.00234192037470726
"107","familia",0.00212314225053079,"primaria",0.00702576112412178
"108","friends",0.00212314225053079,"primaria",NA
"109","fuerte",NA,"primaria",0.00234192037470726
"110","gato",0.00212314225053079,"primaria",NA
"111","globo",NA,"primaria",0.00234192037470726
"112","gran jaguar",NA,"primaria",0.00234192037470726
"113","hermana",0.0106157112526539,"primaria",0.00702576112412178
