"","word","ninos","author","proportion"
"364","un perro, los perros tienen mucho pelo en todas partes",0.00462962962962963,"ninas",NA
"365","un perro o la barba de mi papa",NA,"ninas",0.00471698113207547
"366","un perro porque el perro tiene muchos pelos",NA,"ninas",0.00471698113207547
"367","un perro, porque rima con la otra palabra",NA,"ninas",0.00471698113207547
"368","un perro porque tiene mucho pelo",0.00462962962962963,"ninas",0.00471698113207547
"369","un perro porque tiene muchos pelos",NA,"ninas",0.00471698113207547
"370","un perro porque tienen muchos pelos",0.00462962962962963,"ninas",NA
"371","un perro, porque tiene pelos",NA,"ninas",0.00471698113207547
"372","un perro porque un perro puede ser gordo y tiene mucho pelo",NA,"ninas",0.00471698113207547
"373","un perro, un peluche, un gato, etc",NA,"ninas",0.00471698113207547
"374","un perro york o un poodle porque tienen mucho pelo, pero el que mas peludo esta, es el york.",0.00462962962962963,"ninas",NA
"375","un puerco espin, porque es como una pelota con pelos",0.00462962962962963,"ninas",NA
"376","yo creo que puede ser mi cabello porque es mucho",NA,"ninas",0.00471698113207547
"377","yo digo que puede ser el estambre porque se puede hacer como una pelota",NA,"ninas",0.00471698113207547
"378","yo porque alegro el dia a mis amigos",NA,"ninas",0.00471698113207547
"379",NA,0.00462962962962963,"ninas",0.00471698113207547
